depth_ft,weight_on_bit_klb,torque_ftlb,rpm,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,rop_ft_hr,rop_transformed
7975.0,54.91,15.57,74.77,0.0,5.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,2.3,0.2332555814728423,1,0,0,0,0,54.92168257802308,1647.3,1164.1689,126.29299999999998,99.64,8.686569078321101
2201.0,26.35,15.0242,99.35,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,26.35212012708085,131.75,1492.65427,10.54,704.03,16.661613496116935
10632.0,45.81,21.3303,80.24,0.0,0.0,10.0,5.0,0.0,40.0,0.0,0.0,0.0,3.375,0.2221728504776716,0,0,0,1,0,45.816911137783165,1832.4,1711.543272,154.60875,247.64,11.912890483155826
9275.0,62.04,4.1451,27.66,0.0,0.0,2.0,0.0,0.0,50.0,0.0,100.0,0.0,3.55,0.03999200159968,1,0,0,0,0,62.04086283463275,3102.0,114.653466,220.242,132.87,9.626519959244957
4363.0,52.36,14.7513,57.98,0.0,0.0,5.0,0.0,5.0,20.0,0.0,0.0,0.0,1.8,0.1999200319872051,0,0,0,0,0,52.366960289501954,1047.2,855.2803739999999,94.248,122.87,9.364060905310783
10448.0,16.74,17.0008,41.29,0.0,0.0,10.0,5.0,0.0,40.0,0.0,0.0,0.0,3.375,0.2221728504776716,0,0,0,1,0,17.32013473719008,669.5999999999999,701.9630320000001,56.4975,1.2,0.8717909176325893
3200.0,64.35,11.2183,98.11,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,1.45,0.0999500249875062,1,1,1,0,0,64.35819895271901,1287.0,1100.627413,93.3075,134.23,9.661068100716301
4992.0,20.57,8.1279,87.33,0.0,0.0,5.0,0.0,0.0,60.0,10.0,0.0,90.0,4.325,0.0833194467588735,0,0,0,0,0,20.576623828919374,1234.2,709.809507,88.96525000000001,107.15,8.91736018315583
1107.0,12.67,1.3497,26.59,0.0,0.0,2.0,0.0,0.0,10.0,80.0,0.0,0.0,0.75,0.1998001998001998,1,0,0,0,0,12.6702193675,126.7,35.888523,9.5025,163.59,10.3503178903039
7671.0,53.44,16.3518,72.46,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,2.85,0.0499875031242189,1,0,0,0,0,53.44479755204276,2137.6,1184.851428,152.304,246.96,11.901975679205657
4092.0,64.12,15.9977,98.14,10.0,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,1.175,1.4985014985014986,0,1,1,0,0,64.12921965046685,641.2,1570.014278,75.34100000000001,170.28,10.494271941684852
6064.0,54.96,10.0087,60.02,0.0,5.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.4,0.1166472254624229,1,0,0,0,0,54.96527921762897,3297.6,600.722174,241.824,113.78,9.11132829821205
2018.0,22.89,12.155,97.2,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,22.8919413487134,114.45,1181.466,9.156,608.57,15.92192907091671
6485.0,60.02,12.4058,59.77,0.0,2.0,2.0,0.0,0.0,75.0,0.0,0.0,60.0,5.36,0.0533262231702439,1,0,0,0,0,60.036186305741104,4501.5,741.494666,321.70720000000006,45.8,6.472622020012548
